,_step,eval_average_episode_rewards,algorithm,seed,Environment steps,Reward
0,4000,-176.0120931532369,MASK_AGENT,6286,4000,-176.0120931532369
1,24000,-188.83630262143043,MASK_AGENT,6286,24000,-188.83630262143043
2,44000,-166.91995199403803,MASK_AGENT,6286,44000,-166.91995199403803
3,64000,-156.5031643765803,MASK_AGENT,6286,64000,-156.5031643765803
4,84000,-152.91677116091137,MASK_AGENT,6286,84000,-152.91677116091137
5,104000,-144.83487373883898,MASK_AGENT,6286,104000,-144.83487373883898
6,124000,-140.75615431896927,MASK_AGENT,6286,124000,-140.75615431896927
7,144000,-129.63978770808606,MASK_AGENT,6286,144000,-129.63978770808606
8,164000,-118.56553900747147,MASK_AGENT,6286,164000,-118.56553900747147
9,184000,-115.16520540160147,MASK_AGENT,6286,184000,-115.16520540160147
10,204000,-102.64774716171675,MASK_AGENT,6286,204000,-102.64774716171675
11,224000,-101.30113839376133,MASK_AGENT,6286,224000,-101.30113839376133
12,244000,-93.45701315385148,MASK_AGENT,6286,244000,-93.45701315385148
13,264000,-82.93868386541835,MASK_AGENT,6286,264000,-82.93868386541835
14,284000,-79.18952658179566,MASK_AGENT,6286,284000,-79.18952658179566
15,304000,-77.69022642169227,MASK_AGENT,6286,304000,-77.69022642169227
16,324000,-75.43834111423398,MASK_AGENT,6286,324000,-75.43834111423398
17,344000,-77.16866352299743,MASK_AGENT,6286,344000,-77.16866352299743
18,364000,-82.19852465020372,MASK_AGENT,6286,364000,-82.19852465020372
19,384000,-85.26011993824747,MASK_AGENT,6286,384000,-85.26011993824747
20,404000,-95.31163692688004,MASK_AGENT,6286,404000,-95.31163692688004
21,424000,-106.58146838420505,MASK_AGENT,6286,424000,-106.58146838420505
22,444000,-102.8569539536031,MASK_AGENT,6286,444000,-102.8569539536031
23,464000,-101.3785900782186,MASK_AGENT,6286,464000,-101.3785900782186
24,484000,-108.42010026848229,MASK_AGENT,6286,484000,-108.42010026848229
25,504000,-116.35060435955945,MASK_AGENT,6286,504000,-116.35060435955945
26,524000,-112.65316843930728,MASK_AGENT,6286,524000,-112.65316843930728
27,544000,-114.76810626145951,MASK_AGENT,6286,544000,-114.76810626145951
28,564000,-106.28936645272097,MASK_AGENT,6286,564000,-106.28936645272097
29,584000,-110.37103363199171,MASK_AGENT,6286,584000,-110.37103363199171
30,604000,-105.26476859191291,MASK_AGENT,6286,604000,-105.26476859191291
31,624000,-105.07179684959524,MASK_AGENT,6286,624000,-105.07179684959524
32,644000,-98.94671490083739,MASK_AGENT,6286,644000,-98.94671490083739
33,664000,-96.66634099507283,MASK_AGENT,6286,664000,-96.66634099507283
34,684000,-93.709715806128,MASK_AGENT,6286,684000,-93.709715806128
35,704000,-89.09929259639408,MASK_AGENT,6286,704000,-89.09929259639408
36,724000,-81.56746045563679,MASK_AGENT,6286,724000,-81.56746045563679
37,744000,-81.15982644348774,MASK_AGENT,6286,744000,-81.15982644348774
38,764000,-74.37103882317953,MASK_AGENT,6286,764000,-74.37103882317953
39,784000,-80.09839275571122,MASK_AGENT,6286,784000,-80.09839275571122
40,804000,-80.299500046092,MASK_AGENT,6286,804000,-80.299500046092
41,824000,-76.00054094495763,MASK_AGENT,6286,824000,-76.00054094495763
42,844000,-77.75865054476641,MASK_AGENT,6286,844000,-77.75865054476641
43,864000,-74.27449409091216,MASK_AGENT,6286,864000,-74.27449409091216
44,884000,-79.04816244192315,MASK_AGENT,6286,884000,-79.04816244192315
45,904000,-80.45303994292678,MASK_AGENT,6286,904000,-80.45303994292678
46,924000,-81.61240122548979,MASK_AGENT,6286,924000,-81.61240122548979
47,944000,-75.93519494994943,MASK_AGENT,6286,944000,-75.93519494994943
48,964000,-80.45183522661287,MASK_AGENT,6286,964000,-80.45183522661287
49,984000,-82.9688009968551,MASK_AGENT,6286,984000,-82.9688009968551
50,1004000,-84.02117083752846,MASK_AGENT,6286,1004000,-84.02117083752846
51,1024000,-85.31768582907179,MASK_AGENT,6286,1024000,-85.31768582907179
