,_step,eval_average_episode_rewards,algorithm,seed,Environment steps,Reward
0,4000,-187.31381905506913,MASK_AGENT_pro,7704,4000,-187.31381905506913
1,24000,-178.11457125087574,MASK_AGENT_pro,7704,24000,-178.11457125087574
2,44000,-171.3177061662813,MASK_AGENT_pro,7704,44000,-171.3177061662813
3,64000,-167.93888101090508,MASK_AGENT_pro,7704,64000,-167.93888101090508
4,84000,-157.51243675651284,MASK_AGENT_pro,7704,84000,-157.51243675651284
5,104000,-146.43179181954375,MASK_AGENT_pro,7704,104000,-146.43179181954375
6,124000,-147.52358997028685,MASK_AGENT_pro,7704,124000,-147.52358997028685
7,144000,-124.47817099332079,MASK_AGENT_pro,7704,144000,-124.47817099332079
8,164000,-117.57923688943679,MASK_AGENT_pro,7704,164000,-117.57923688943679
9,184000,-116.24800998128316,MASK_AGENT_pro,7704,184000,-116.24800998128316
10,204000,-111.11829004738566,MASK_AGENT_pro,7704,204000,-111.11829004738566
11,224000,-99.69523135734218,MASK_AGENT_pro,7704,224000,-99.69523135734218
12,244000,-84.12676935076266,MASK_AGENT_pro,7704,244000,-84.12676935076266
13,264000,-77.89919006213515,MASK_AGENT_pro,7704,264000,-77.89919006213515
14,284000,-78.13692623275757,MASK_AGENT_pro,7704,284000,-78.13692623275757
15,304000,-77.37760971218279,MASK_AGENT_pro,7704,304000,-77.37760971218279
16,324000,-78.75188692720077,MASK_AGENT_pro,7704,324000,-78.75188692720077
17,344000,-80.8357737388296,MASK_AGENT_pro,7704,344000,-80.8357737388296
18,364000,-85.87863385852107,MASK_AGENT_pro,7704,364000,-85.87863385852107
19,384000,-92.12433048597742,MASK_AGENT_pro,7704,384000,-92.12433048597742
20,404000,-90.0899379812993,MASK_AGENT_pro,7704,404000,-90.0899379812993
21,424000,-87.02772442436489,MASK_AGENT_pro,7704,424000,-87.02772442436489
22,444000,-82.86899080706534,MASK_AGENT_pro,7704,444000,-82.86899080706534
23,464000,-81.65995612310186,MASK_AGENT_pro,7704,464000,-81.65995612310186
24,484000,-82.7728957247989,MASK_AGENT_pro,7704,484000,-82.7728957247989
25,504000,-86.07642814641963,MASK_AGENT_pro,7704,504000,-86.07642814641963
26,524000,-91.8905548488135,MASK_AGENT_pro,7704,524000,-91.8905548488135
27,544000,-93.49199730483167,MASK_AGENT_pro,7704,544000,-93.49199730483167
28,564000,-89.79182129770403,MASK_AGENT_pro,7704,564000,-89.79182129770403
29,584000,-89.00596905810411,MASK_AGENT_pro,7704,584000,-89.00596905810411
30,604000,-85.53153535454166,MASK_AGENT_pro,7704,604000,-85.53153535454166
31,624000,-77.19799524152486,MASK_AGENT_pro,7704,624000,-77.19799524152486
32,644000,-73.13421611276218,MASK_AGENT_pro,7704,644000,-73.13421611276218
33,664000,-70.48694847356396,MASK_AGENT_pro,7704,664000,-70.48694847356396
34,684000,-74.32072184044328,MASK_AGENT_pro,7704,684000,-74.32072184044328
35,704000,-64.72825316833917,MASK_AGENT_pro,7704,704000,-64.72825316833917
36,724000,-68.09272033711264,MASK_AGENT_pro,7704,724000,-68.09272033711264
37,744000,-64.64134101065056,MASK_AGENT_pro,7704,744000,-64.64134101065056
38,764000,-66.96391955243534,MASK_AGENT_pro,7704,764000,-66.96391955243534
39,784000,-67.5647389141105,MASK_AGENT_pro,7704,784000,-67.5647389141105
40,804000,-65.52206126849646,MASK_AGENT_pro,7704,804000,-65.52206126849646
41,824000,-65.70884564183419,MASK_AGENT_pro,7704,824000,-65.70884564183419
42,844000,-63.59006353639968,MASK_AGENT_pro,7704,844000,-63.59006353639968
43,864000,-59.96271318789708,MASK_AGENT_pro,7704,864000,-59.96271318789708
44,884000,-56.560028688683836,MASK_AGENT_pro,7704,884000,-56.560028688683836
45,904000,-61.26787777023255,MASK_AGENT_pro,7704,904000,-61.26787777023255
46,924000,-59.804442479880905,MASK_AGENT_pro,7704,924000,-59.804442479880905
47,944000,-57.51610296202874,MASK_AGENT_pro,7704,944000,-57.51610296202874
48,964000,-60.69893055420285,MASK_AGENT_pro,7704,964000,-60.69893055420285
49,984000,-59.13932508762256,MASK_AGENT_pro,7704,984000,-59.13932508762256
50,1004000,-62.720782218532236,MASK_AGENT_pro,7704,1004000,-62.720782218532236
51,1024000,-66.47847597286223,MASK_AGENT_pro,7704,1024000,-66.47847597286223
52,1044000,-69.43325624900419,MASK_AGENT_pro,7704,1044000,-69.43325624900419
53,1064000,-73.15880957377429,MASK_AGENT_pro,7704,1064000,-73.15880957377429
54,1084000,-67.90336813192211,MASK_AGENT_pro,7704,1084000,-67.90336813192211
55,1104000,-65.09603307797477,MASK_AGENT_pro,7704,1104000,-65.09603307797477
56,1124000,-66.65048392872129,MASK_AGENT_pro,7704,1124000,-66.65048392872129
57,1144000,-70.19226785951048,MASK_AGENT_pro,7704,1144000,-70.19226785951048
58,1164000,-68.80631225512978,MASK_AGENT_pro,7704,1164000,-68.80631225512978
59,1184000,-69.148740729904,MASK_AGENT_pro,7704,1184000,-69.148740729904
60,1204000,-67.45089524235017,MASK_AGENT_pro,7704,1204000,-67.45089524235017
61,1224000,-68.03732430704898,MASK_AGENT_pro,7704,1224000,-68.03732430704898
62,1244000,-64.6751842655,MASK_AGENT_pro,7704,1244000,-64.6751842655
63,1264000,-63.91176414105884,MASK_AGENT_pro,7704,1264000,-63.91176414105884
64,1284000,-60.000640570997824,MASK_AGENT_pro,7704,1284000,-60.000640570997824
65,1304000,-58.36497178729287,MASK_AGENT_pro,7704,1304000,-58.36497178729287
66,1324000,-60.562710670643355,MASK_AGENT_pro,7704,1324000,-60.562710670643355
67,1344000,-57.7093906222608,MASK_AGENT_pro,7704,1344000,-57.7093906222608
68,1364000,-61.16713120918838,MASK_AGENT_pro,7704,1364000,-61.16713120918838
69,1384000,-59.54922223483104,MASK_AGENT_pro,7704,1384000,-59.54922223483104
70,1404000,-62.04005900402795,MASK_AGENT_pro,7704,1404000,-62.04005900402795
71,1424000,-64.87884477568664,MASK_AGENT_pro,7704,1424000,-64.87884477568664
72,1444000,-64.14610312366628,MASK_AGENT_pro,7704,1444000,-64.14610312366628
73,1464000,-72.066072870603,MASK_AGENT_pro,7704,1464000,-72.066072870603
74,1484000,-77.01151285540469,MASK_AGENT_pro,7704,1484000,-77.01151285540469
75,1504000,-68.90501827499406,MASK_AGENT_pro,7704,1504000,-68.90501827499406
76,1524000,-67.55673952933884,MASK_AGENT_pro,7704,1524000,-67.55673952933884
77,1544000,-67.77563951831738,MASK_AGENT_pro,7704,1544000,-67.77563951831738
78,1564000,-70.03085136555286,MASK_AGENT_pro,7704,1564000,-70.03085136555286
79,1584000,-67.82478850209733,MASK_AGENT_pro,7704,1584000,-67.82478850209733
80,1604000,-65.83322278043394,MASK_AGENT_pro,7704,1604000,-65.83322278043394
