,_step,eval_average_episode_rewards,algorithm,seed,Environment steps,Reward
0,4000,-195.01805791167993,MAT,-2,4000,-195.01805791167993
1,24000,-169.38852158814817,MAT,-2,24000,-169.38852158814817
2,44000,-171.4906146085197,MAT,-2,44000,-171.4906146085197
3,64000,-184.2986511490579,MAT,-2,64000,-184.2986511490579
4,84000,-174.40577534150475,MAT,-2,84000,-174.40577534150475
5,104000,-175.03898017694982,MAT,-2,104000,-175.03898017694982
6,124000,-186.04980063122142,MAT,-2,124000,-186.04980063122142
7,144000,-173.36266610493539,MAT,-2,144000,-173.36266610493539
8,164000,-183.128169381871,MAT,-2,164000,-183.128169381871
9,184000,-193.86394085109356,MAT,-2,184000,-193.86394085109356
10,204000,-177.6423113263085,MAT,-2,204000,-177.6423113263085
11,224000,-158.81891192718325,MAT,-2,224000,-158.81891192718325
12,244000,-155.3246314628803,MAT,-2,244000,-155.3246314628803
13,264000,-144.47735232581186,MAT,-2,264000,-144.47735232581186
14,284000,-128.14466821966442,MAT,-2,284000,-128.14466821966442
15,304000,-120.47081575699096,MAT,-2,304000,-120.47081575699096
16,324000,-114.05731325837466,MAT,-2,324000,-114.05731325837466
17,344000,-98.91147189124122,MAT,-2,344000,-98.91147189124122
18,364000,-89.25156372838556,MAT,-2,364000,-89.25156372838556
19,384000,-85.52624136615995,MAT,-2,384000,-85.52624136615995
20,404000,-92.28314229000725,MAT,-2,404000,-92.28314229000725
21,424000,-91.12128455144308,MAT,-2,424000,-91.12128455144308
22,444000,-90.02076977962517,MAT,-2,444000,-90.02076977962517
23,464000,-87.78456633689098,MAT,-2,464000,-87.78456633689098
24,484000,-87.65137126856291,MAT,-2,484000,-87.65137126856291
25,504000,-91.8554905153359,MAT,-2,504000,-91.8554905153359
26,524000,-98.74837459846545,MAT,-2,524000,-98.74837459846545
27,544000,-100.05527903498408,MAT,-2,544000,-100.05527903498408
28,564000,-95.80159644402876,MAT,-2,564000,-95.80159644402876
29,584000,-91.24012389164781,MAT,-2,584000,-91.24012389164781
30,604000,-96.08330043756372,MAT,-2,604000,-96.08330043756372
31,624000,-106.95324382034156,MAT,-2,624000,-106.95324382034156
32,644000,-103.07537842527104,MAT,-2,644000,-103.07537842527104
33,664000,-106.02206368255993,MAT,-2,664000,-106.02206368255993
34,684000,-104.47097259973141,MAT,-2,684000,-104.47097259973141
35,704000,-106.25901327081303,MAT,-2,704000,-106.25901327081303
36,724000,-95.93972672377083,MAT,-2,724000,-95.93972672377083
37,744000,-87.30013928144872,MAT,-2,744000,-87.30013928144872
38,764000,-81.21031699171543,MAT,-2,764000,-81.21031699171543
39,784000,-76.02634548136471,MAT,-2,784000,-76.02634548136471
40,804000,-74.28557489518904,MAT,-2,804000,-74.28557489518904
41,824000,-70.6165919207937,MAT,-2,824000,-70.6165919207937
42,844000,-69.71316098438707,MAT,-2,844000,-69.71316098438707
43,864000,-68.1461777941955,MAT,-2,864000,-68.1461777941955
44,884000,-68.1313835610865,MAT,-2,884000,-68.1313835610865
45,904000,-65.26758984561948,MAT,-2,904000,-65.26758984561948
46,924000,-68.31996107289592,MAT,-2,924000,-68.31996107289592
47,944000,-69.8715910181762,MAT,-2,944000,-69.8715910181762
48,964000,-71.04012694390532,MAT,-2,964000,-71.04012694390532
49,984000,-70.31120836533304,MAT,-2,984000,-70.31120836533304
50,1004000,-70.38163324542165,MAT,-2,1004000,-70.38163324542165
51,1024000,-72.15545834184775,MAT,-2,1024000,-72.15545834184775
52,1044000,-71.01089512156564,MAT,-2,1044000,-71.01089512156564
53,1064000,-69.87048607419467,MAT,-2,1064000,-69.87048607419467
54,1084000,-68.97146350225464,MAT,-2,1084000,-68.97146350225464
55,1104000,-69.26267153461326,MAT,-2,1104000,-69.26267153461326
56,1124000,-68.45596078317314,MAT,-2,1124000,-68.45596078317314
57,1144000,-69.10817876292859,MAT,-2,1144000,-69.10817876292859
58,1164000,-70.53742429656471,MAT,-2,1164000,-70.53742429656471
59,1184000,-71.25458740956442,MAT,-2,1184000,-71.25458740956442
60,1204000,-70.96399904580127,MAT,-2,1204000,-70.96399904580127
61,1224000,-74.36043925551095,MAT,-2,1224000,-74.36043925551095
62,1244000,-74.70129943781697,MAT,-2,1244000,-74.70129943781697
63,1264000,-76.35267899213511,MAT,-2,1264000,-76.35267899213511
64,1284000,-78.93629458905666,MAT,-2,1284000,-78.93629458905666
65,1304000,-77.90617882807351,MAT,-2,1304000,-77.90617882807351
66,1324000,-75.34473882070692,MAT,-2,1324000,-75.34473882070692
67,1344000,-74.97379190853535,MAT,-2,1344000,-74.97379190853535
68,1364000,-77.22550728221859,MAT,-2,1364000,-77.22550728221859
69,1384000,-80.47267472829921,MAT,-2,1384000,-80.47267472829921
70,1404000,-78.35164696618492,MAT,-2,1404000,-78.35164696618492
71,1424000,-72.3831113960563,MAT,-2,1424000,-72.3831113960563
72,1444000,-71.00586214026588,MAT,-2,1444000,-71.00586214026588
73,1464000,-68.33215978882204,MAT,-2,1464000,-68.33215978882204
74,1484000,-65.34218718056327,MAT,-2,1484000,-65.34218718056327
75,1504000,-64.41095718315037,MAT,-2,1504000,-64.41095718315037
76,1524000,-60.68223933342112,MAT,-2,1524000,-60.68223933342112
77,1544000,-64.80923342481593,MAT,-2,1544000,-64.80923342481593
78,1564000,-63.65970837570255,MAT,-2,1564000,-63.65970837570255
79,1584000,-62.415168517876815,MAT,-2,1584000,-62.415168517876815
80,1604000,-61.04854685667575,MAT,-2,1604000,-61.04854685667575
81,1624000,-58.64859788369629,MAT,-2,1624000,-58.64859788369629
82,1644000,-61.161451563608615,MAT,-2,1644000,-61.161451563608615
83,1664000,-54.41061298814844,MAT,-2,1664000,-54.41061298814844
84,1684000,-53.75554791196167,MAT,-2,1684000,-53.75554791196167
85,1704000,-52.77649435656637,MAT,-2,1704000,-52.77649435656637
86,1724000,-52.225276307830654,MAT,-2,1724000,-52.225276307830654
87,1744000,-51.48566300847849,MAT,-2,1744000,-51.48566300847849
88,1764000,-50.35464188773126,MAT,-2,1764000,-50.35464188773126
89,1784000,-45.65872813572763,MAT,-2,1784000,-45.65872813572763
90,1804000,-44.210102105204605,MAT,-2,1804000,-44.210102105204605
91,1824000,-44.73900459276483,MAT,-2,1824000,-44.73900459276483
92,1844000,-44.772011343597434,MAT,-2,1844000,-44.772011343597434
93,1864000,-44.71234090085558,MAT,-2,1864000,-44.71234090085558
94,1884000,-45.50127846745421,MAT,-2,1884000,-45.50127846745421
95,1904000,-44.39047062597653,MAT,-2,1904000,-44.39047062597653
96,1924000,-44.62596955108366,MAT,-2,1924000,-44.62596955108366
97,1944000,-42.54026475594385,MAT,-2,1944000,-42.54026475594385
98,1964000,-44.421863686642496,MAT,-2,1964000,-44.421863686642496
99,1984000,-44.01224579189683,MAT,-2,1984000,-44.01224579189683
