,_step,eval_average_episode_rewards,algorithm,seed,Environment steps,Reward
0,4000,-183.95858164871947,MASK_AGENT,-2,4000,-183.95858164871947
1,24000,-174.0425755360682,MASK_AGENT,-2,24000,-174.0425755360682
2,44000,-161.11058475570445,MASK_AGENT,-2,44000,-161.11058475570445
3,64000,-143.46252148483273,MASK_AGENT,-2,64000,-143.46252148483273
4,84000,-145.73036266312153,MASK_AGENT,-2,84000,-145.73036266312153
5,104000,-131.8380818926889,MASK_AGENT,-2,104000,-131.8380818926889
6,124000,-125.94140441198576,MASK_AGENT,-2,124000,-125.94140441198576
7,144000,-115.9137202870382,MASK_AGENT,-2,144000,-115.9137202870382
8,164000,-107.77916594797838,MASK_AGENT,-2,164000,-107.77916594797838
9,184000,-101.75350053573935,MASK_AGENT,-2,184000,-101.75350053573935
10,204000,-93.67348887674484,MASK_AGENT,-2,204000,-93.67348887674484
11,224000,-87.3708294057237,MASK_AGENT,-2,224000,-87.3708294057237
12,244000,-82.64337880993568,MASK_AGENT,-2,244000,-82.64337880993568
13,264000,-79.60830654986012,MASK_AGENT,-2,264000,-79.60830654986012
14,284000,-78.47186999874751,MASK_AGENT,-2,284000,-78.47186999874751
15,304000,-81.78893708677262,MASK_AGENT,-2,304000,-81.78893708677262
16,324000,-92.48800653348373,MASK_AGENT,-2,324000,-92.48800653348373
17,344000,-97.34992343818814,MASK_AGENT,-2,344000,-97.34992343818814
18,364000,-101.30290279981868,MASK_AGENT,-2,364000,-101.30290279981868
19,384000,-109.00785682278692,MASK_AGENT,-2,384000,-109.00785682278692
20,404000,-101.55621044214402,MASK_AGENT,-2,404000,-101.55621044214402
21,424000,-97.19068510992687,MASK_AGENT,-2,424000,-97.19068510992687
22,444000,-105.81280749548478,MASK_AGENT,-2,444000,-105.81280749548478
23,464000,-110.67647227571709,MASK_AGENT,-2,464000,-110.67647227571709
24,484000,-122.43293468451313,MASK_AGENT,-2,484000,-122.43293468451313
25,504000,-118.07567207272889,MASK_AGENT,-2,504000,-118.07567207272889
26,524000,-107.02524794996118,MASK_AGENT,-2,524000,-107.02524794996118
27,544000,-102.04868774776847,MASK_AGENT,-2,544000,-102.04868774776847
28,564000,-108.20684127666766,MASK_AGENT,-2,564000,-108.20684127666766
29,584000,-106.76305171499004,MASK_AGENT,-2,584000,-106.76305171499004
30,604000,-99.63982236933235,MASK_AGENT,-2,604000,-99.63982236933235
31,624000,-95.64997445784876,MASK_AGENT,-2,624000,-95.64997445784876
32,644000,-99.28353384231742,MASK_AGENT,-2,644000,-99.28353384231742
33,664000,-99.07649853534647,MASK_AGENT,-2,664000,-99.07649853534647
34,684000,-90.92945537093908,MASK_AGENT,-2,684000,-90.92945537093908
35,704000,-78.55326177113565,MASK_AGENT,-2,704000,-78.55326177113565
36,724000,-76.64082987821072,MASK_AGENT,-2,724000,-76.64082987821072
37,744000,-70.7792114541725,MASK_AGENT,-2,744000,-70.7792114541725
38,764000,-69.90756843432942,MASK_AGENT,-2,764000,-69.90756843432942
39,784000,-68.79845849521116,MASK_AGENT,-2,784000,-68.79845849521116
40,804000,-71.41904577102795,MASK_AGENT,-2,804000,-71.41904577102795
41,824000,-68.81766350633964,MASK_AGENT,-2,824000,-68.81766350633964
42,844000,-73.80197273898247,MASK_AGENT,-2,844000,-73.80197273898247
43,864000,-76.23549798227216,MASK_AGENT,-2,864000,-76.23549798227216
44,884000,-77.99079585192707,MASK_AGENT,-2,884000,-77.99079585192707
45,904000,-71.35870112256347,MASK_AGENT,-2,904000,-71.35870112256347
46,924000,-74.12989383046421,MASK_AGENT,-2,924000,-74.12989383046421
47,944000,-72.90847022545213,MASK_AGENT,-2,944000,-72.90847022545213
48,964000,-76.94470470380124,MASK_AGENT,-2,964000,-76.94470470380124
49,984000,-77.29812651992351,MASK_AGENT,-2,984000,-77.29812651992351
50,1004000,-74.2457732903529,MASK_AGENT,-2,1004000,-74.2457732903529
51,1024000,-74.62101727413119,MASK_AGENT,-2,1024000,-74.62101727413119
52,1044000,-74.72518659794254,MASK_AGENT,-2,1044000,-74.72518659794254
53,1064000,-74.74849959804634,MASK_AGENT,-2,1064000,-74.74849959804634
54,1084000,-76.24198364574417,MASK_AGENT,-2,1084000,-76.24198364574417
55,1104000,-79.86844675529491,MASK_AGENT,-2,1104000,-79.86844675529491
56,1124000,-80.65446732994688,MASK_AGENT,-2,1124000,-80.65446732994688
57,1144000,-76.68138205148432,MASK_AGENT,-2,1144000,-76.68138205148432
58,1164000,-78.68088268178141,MASK_AGENT,-2,1164000,-78.68088268178141
59,1184000,-75.74889257390043,MASK_AGENT,-2,1184000,-75.74889257390043
60,1204000,-71.20213567903781,MASK_AGENT,-2,1204000,-71.20213567903781
61,1224000,-71.92542849100978,MASK_AGENT,-2,1224000,-71.92542849100978
62,1244000,-69.30250509980952,MASK_AGENT,-2,1244000,-69.30250509980952
63,1264000,-65.04945120444245,MASK_AGENT,-2,1264000,-65.04945120444245
64,1284000,-68.00144671251459,MASK_AGENT,-2,1284000,-68.00144671251459
65,1304000,-68.84397389711934,MASK_AGENT,-2,1304000,-68.84397389711934
66,1324000,-65.41545275788584,MASK_AGENT,-2,1324000,-65.41545275788584
67,1344000,-64.40855939997995,MASK_AGENT,-2,1344000,-64.40855939997995
68,1364000,-68.92579796482222,MASK_AGENT,-2,1364000,-68.92579796482222
69,1384000,-67.1256688878733,MASK_AGENT,-2,1384000,-67.1256688878733
70,1404000,-68.48453524790135,MASK_AGENT,-2,1404000,-68.48453524790135
71,1424000,-65.72073685969883,MASK_AGENT,-2,1424000,-65.72073685969883
72,1444000,-75.387612084653,MASK_AGENT,-2,1444000,-75.387612084653
73,1464000,-79.27304848996394,MASK_AGENT,-2,1464000,-79.27304848996394
74,1484000,-78.4327322036726,MASK_AGENT,-2,1484000,-78.4327322036726
75,1504000,-74.67410096543105,MASK_AGENT,-2,1504000,-74.67410096543105
76,1524000,-66.83558634670898,MASK_AGENT,-2,1524000,-66.83558634670898
77,1544000,-63.51039357344191,MASK_AGENT,-2,1544000,-63.51039357344191
78,1564000,-60.54353568048335,MASK_AGENT,-2,1564000,-60.54353568048335
