,_step,eval_average_episode_rewards,algorithm,seed,Environment steps,Reward
0,4000,-194.57772228533116,MASK_AGENT_pro,2113,4000,-194.57772228533116
1,24000,-194.0891384007622,MASK_AGENT_pro,2113,24000,-194.0891384007622
2,44000,-205.12097369707735,MASK_AGENT_pro,2113,44000,-205.12097369707735
3,64000,-202.30376898498298,MASK_AGENT_pro,2113,64000,-202.30376898498298
4,84000,-207.93004889159903,MASK_AGENT_pro,2113,84000,-207.93004889159903
5,104000,-212.90859599614842,MASK_AGENT_pro,2113,104000,-212.90859599614842
6,124000,-216.40848721273196,MASK_AGENT_pro,2113,124000,-216.40848721273196
7,144000,-220.24690269198157,MASK_AGENT_pro,2113,144000,-220.24690269198157
8,164000,-219.9605846909486,MASK_AGENT_pro,2113,164000,-219.9605846909486
9,184000,-221.91010971149862,MASK_AGENT_pro,2113,184000,-221.91010971149862
10,204000,-221.8313988832825,MASK_AGENT_pro,2113,204000,-221.8313988832825
11,224000,-221.28712374272544,MASK_AGENT_pro,2113,224000,-221.28712374272544
12,244000,-218.39294535021727,MASK_AGENT_pro,2113,244000,-218.39294535021727
13,264000,-211.706060117424,MASK_AGENT_pro,2113,264000,-211.706060117424
14,284000,-205.4624951496985,MASK_AGENT_pro,2113,284000,-205.4624951496985
15,304000,-188.30650527154006,MASK_AGENT_pro,2113,304000,-188.30650527154006
16,324000,-156.9214622512993,MASK_AGENT_pro,2113,324000,-156.9214622512993
17,344000,-143.53916576944152,MASK_AGENT_pro,2113,344000,-143.53916576944152
18,364000,-120.59224758214096,MASK_AGENT_pro,2113,364000,-120.59224758214096
19,384000,-104.93671254102023,MASK_AGENT_pro,2113,384000,-104.93671254102023
20,404000,-93.48879136742732,MASK_AGENT_pro,2113,404000,-93.48879136742732
21,424000,-89.54274917236326,MASK_AGENT_pro,2113,424000,-89.54274917236326
22,444000,-83.3692776729158,MASK_AGENT_pro,2113,444000,-83.3692776729158
23,464000,-81.59698071912763,MASK_AGENT_pro,2113,464000,-81.59698071912763
24,484000,-74.3979966657969,MASK_AGENT_pro,2113,484000,-74.3979966657969
25,504000,-72.04345959547922,MASK_AGENT_pro,2113,504000,-72.04345959547922
26,524000,-70.94856470252361,MASK_AGENT_pro,2113,524000,-70.94856470252361
27,544000,-71.08956187551335,MASK_AGENT_pro,2113,544000,-71.08956187551335
28,564000,-73.56243357391679,MASK_AGENT_pro,2113,564000,-73.56243357391679
29,584000,-77.25657749595806,MASK_AGENT_pro,2113,584000,-77.25657749595806
30,604000,-81.62923459507327,MASK_AGENT_pro,2113,604000,-81.62923459507327
31,624000,-86.02684985561064,MASK_AGENT_pro,2113,624000,-86.02684985561064
32,644000,-83.67347520965464,MASK_AGENT_pro,2113,644000,-83.67347520965464
33,664000,-82.38996616179529,MASK_AGENT_pro,2113,664000,-82.38996616179529
34,684000,-88.73242517752826,MASK_AGENT_pro,2113,684000,-88.73242517752826
35,704000,-88.7119816558205,MASK_AGENT_pro,2113,704000,-88.7119816558205
36,724000,-95.33841362402451,MASK_AGENT_pro,2113,724000,-95.33841362402451
37,744000,-104.90027724384272,MASK_AGENT_pro,2113,744000,-104.90027724384272
38,764000,-104.84001367882158,MASK_AGENT_pro,2113,764000,-104.84001367882158
39,784000,-104.48937994167355,MASK_AGENT_pro,2113,784000,-104.48937994167355
40,804000,-108.47034361319291,MASK_AGENT_pro,2113,804000,-108.47034361319291
41,824000,-107.38260430144723,MASK_AGENT_pro,2113,824000,-107.38260430144723
42,844000,-98.49522425944338,MASK_AGENT_pro,2113,844000,-98.49522425944338
43,864000,-101.09293673578054,MASK_AGENT_pro,2113,864000,-101.09293673578054
44,884000,-99.38018925548832,MASK_AGENT_pro,2113,884000,-99.38018925548832
45,904000,-102.70302644337441,MASK_AGENT_pro,2113,904000,-102.70302644337441
46,924000,-104.80663864925927,MASK_AGENT_pro,2113,924000,-104.80663864925927
47,944000,-99.82369910416877,MASK_AGENT_pro,2113,944000,-99.82369910416877
48,964000,-98.8173240364275,MASK_AGENT_pro,2113,964000,-98.8173240364275
49,984000,-92.29121349483398,MASK_AGENT_pro,2113,984000,-92.29121349483398
50,1004000,-95.02170628324043,MASK_AGENT_pro,2113,1004000,-95.02170628324043
51,1024000,-94.38381677819552,MASK_AGENT_pro,2113,1024000,-94.38381677819552
52,1044000,-86.72106311091763,MASK_AGENT_pro,2113,1044000,-86.72106311091763
53,1064000,-87.01520000471074,MASK_AGENT_pro,2113,1064000,-87.01520000471074
54,1084000,-80.92678844004722,MASK_AGENT_pro,2113,1084000,-80.92678844004722
55,1104000,-74.7827601971322,MASK_AGENT_pro,2113,1104000,-74.7827601971322
56,1124000,-73.3448697658628,MASK_AGENT_pro,2113,1124000,-73.3448697658628
57,1144000,-66.27773051368045,MASK_AGENT_pro,2113,1144000,-66.27773051368045
58,1164000,-71.19296104509351,MASK_AGENT_pro,2113,1164000,-71.19296104509351
59,1184000,-65.88721967985563,MASK_AGENT_pro,2113,1184000,-65.88721967985563
60,1204000,-71.35301349278858,MASK_AGENT_pro,2113,1204000,-71.35301349278858
