,_step,eval_average_episode_rewards,algorithm,seed,Environment steps,Reward
0,4000,-178.0784777811314,MAT,-3,4000,-178.0784777811314
1,24000,-184.96972321444622,MAT,-3,24000,-184.96972321444622
2,44000,-179.64583968806693,MAT,-3,44000,-179.64583968806693
3,64000,-184.20655106961564,MAT,-3,64000,-184.20655106961564
4,84000,-170.5310211056692,MAT,-3,84000,-170.5310211056692
5,104000,-171.84053171541427,MAT,-3,104000,-171.84053171541427
6,124000,-176.3106208165122,MAT,-3,124000,-176.3106208165122
7,144000,-185.25094402691386,MAT,-3,144000,-185.25094402691386
8,164000,-189.41405363909388,MAT,-3,164000,-189.41405363909388
9,184000,-194.9021185546764,MAT,-3,184000,-194.9021185546764
10,204000,-191.15701645872173,MAT,-3,204000,-191.15701645872173
11,224000,-189.47162768100594,MAT,-3,224000,-189.47162768100594
12,244000,-195.2898784137505,MAT,-3,244000,-195.2898784137505
13,264000,-177.83000544499242,MAT,-3,264000,-177.83000544499242
14,284000,-175.19501252774302,MAT,-3,284000,-175.19501252774302
15,304000,-184.92964645791398,MAT,-3,304000,-184.92964645791398
16,324000,-195.81005907986426,MAT,-3,324000,-195.81005907986426
17,344000,-181.8495293898079,MAT,-3,344000,-181.8495293898079
18,364000,-186.42525836854207,MAT,-3,364000,-186.42525836854207
19,384000,-185.5289589350489,MAT,-3,384000,-185.5289589350489
20,404000,-204.78350193263648,MAT,-3,404000,-204.78350193263648
21,424000,-201.67204744092507,MAT,-3,424000,-201.67204744092507
22,444000,-205.61003195065533,MAT,-3,444000,-205.61003195065533
23,464000,-210.6499882924076,MAT,-3,464000,-210.6499882924076
24,484000,-197.64189718541752,MAT,-3,484000,-197.64189718541752
25,504000,-193.77394062866296,MAT,-3,504000,-193.77394062866296
26,524000,-169.443419198941,MAT,-3,524000,-169.443419198941
27,544000,-159.3635356019974,MAT,-3,544000,-159.3635356019974
28,564000,-149.01432127287381,MAT,-3,564000,-149.01432127287381
29,584000,-140.8119227473955,MAT,-3,584000,-140.8119227473955
30,604000,-123.50137386313699,MAT,-3,604000,-123.50137386313699
31,624000,-115.28047754172465,MAT,-3,624000,-115.28047754172465
32,644000,-108.34730156281572,MAT,-3,644000,-108.34730156281572
33,664000,-94.80550501944455,MAT,-3,664000,-94.80550501944455
34,684000,-84.54943894249979,MAT,-3,684000,-84.54943894249979
35,704000,-84.26438296398882,MAT,-3,704000,-84.26438296398882
36,724000,-77.80795053039036,MAT,-3,724000,-77.80795053039036
37,744000,-72.72410729974105,MAT,-3,744000,-72.72410729974105
38,764000,-69.21157669818972,MAT,-3,764000,-69.21157669818972
39,784000,-67.18466229107625,MAT,-3,784000,-67.18466229107625
40,804000,-66.63333173447423,MAT,-3,804000,-66.63333173447423
41,824000,-69.45154059343726,MAT,-3,824000,-69.45154059343726
42,844000,-70.41077192849502,MAT,-3,844000,-70.41077192849502
43,864000,-70.13953485311212,MAT,-3,864000,-70.13953485311212
44,884000,-69.1727647971096,MAT,-3,884000,-69.1727647971096
45,904000,-69.33614392929381,MAT,-3,904000,-69.33614392929381
46,924000,-70.75700155540677,MAT,-3,924000,-70.75700155540677
47,944000,-70.87528849789098,MAT,-3,944000,-70.87528849789098
48,964000,-74.3589827178805,MAT,-3,964000,-74.3589827178805
49,984000,-81.88520600337644,MAT,-3,984000,-81.88520600337644
50,1004000,-78.39465259315567,MAT,-3,1004000,-78.39465259315567
51,1024000,-81.3516982363988,MAT,-3,1024000,-81.3516982363988
52,1044000,-78.54614535936848,MAT,-3,1044000,-78.54614535936848
53,1064000,-76.52372900013202,MAT,-3,1064000,-76.52372900013202
54,1084000,-82.06355362150455,MAT,-3,1084000,-82.06355362150455
55,1104000,-79.82259703521547,MAT,-3,1104000,-79.82259703521547
56,1124000,-79.20775657025581,MAT,-3,1124000,-79.20775657025581
57,1144000,-79.87387138964277,MAT,-3,1144000,-79.87387138964277
58,1164000,-80.61410839517518,MAT,-3,1164000,-80.61410839517518
59,1184000,-80.77278950115536,MAT,-3,1184000,-80.77278950115536
60,1204000,-88.05862939108397,MAT,-3,1204000,-88.05862939108397
61,1224000,-95.40614344484842,MAT,-3,1224000,-95.40614344484842
62,1244000,-110.74678371565058,MAT,-3,1244000,-110.74678371565058
63,1264000,-127.13389157617318,MAT,-3,1264000,-127.13389157617318
64,1284000,-123.80608040470902,MAT,-3,1284000,-123.80608040470902
65,1304000,-126.39964400582434,MAT,-3,1304000,-126.39964400582434
66,1324000,-123.62437253114597,MAT,-3,1324000,-123.62437253114597
67,1344000,-117.87682766560643,MAT,-3,1344000,-117.87682766560643
68,1364000,-104.74690141005365,MAT,-3,1364000,-104.74690141005365
69,1384000,-108.74762684486807,MAT,-3,1384000,-108.74762684486807
70,1404000,-111.33903972847915,MAT,-3,1404000,-111.33903972847915
