,_step,eval_average_episode_rewards,algorithm,seed,Environment steps,Reward
0,4000,-180.8097165085962,MAT,4797,4000,-180.8097165085962
1,24000,-171.13023968455306,MAT,4797,24000,-171.13023968455306
2,44000,-182.5758429476005,MAT,4797,44000,-182.5758429476005
3,64000,-166.20634448868776,MAT,4797,64000,-166.20634448868776
4,84000,-167.1766803618334,MAT,4797,84000,-167.1766803618334
5,104000,-160.43800234556718,MAT,4797,104000,-160.43800234556718
6,124000,-143.68248001406477,MAT,4797,124000,-143.68248001406477
7,144000,-148.14286767333016,MAT,4797,144000,-148.14286767333016
8,164000,-151.89159190518757,MAT,4797,164000,-151.89159190518757
9,184000,-156.22082189787926,MAT,4797,184000,-156.22082189787926
10,204000,-156.97424814119387,MAT,4797,204000,-156.97424814119387
11,224000,-151.0312358623152,MAT,4797,224000,-151.0312358623152
12,244000,-141.7869488367392,MAT,4797,244000,-141.7869488367392
13,264000,-134.53160004408173,MAT,4797,264000,-134.53160004408173
14,284000,-139.84848019646734,MAT,4797,284000,-139.84848019646734
15,304000,-148.30781821263645,MAT,4797,304000,-148.30781821263645
16,324000,-165.38941121241842,MAT,4797,324000,-165.38941121241842
17,344000,-151.08689984203238,MAT,4797,344000,-151.08689984203238
18,364000,-156.76017768761375,MAT,4797,364000,-156.76017768761375
19,384000,-150.55926440396996,MAT,4797,384000,-150.55926440396996
20,404000,-130.62032819204595,MAT,4797,404000,-130.62032819204595
21,424000,-121.51215647425832,MAT,4797,424000,-121.51215647425832
22,444000,-110.18751523766807,MAT,4797,444000,-110.18751523766807
23,464000,-101.59220970002278,MAT,4797,464000,-101.59220970002278
24,484000,-88.0334510742816,MAT,4797,484000,-88.0334510742816
25,504000,-81.64188989134357,MAT,4797,504000,-81.64188989134357
26,524000,-79.06412744536809,MAT,4797,524000,-79.06412744536809
27,544000,-79.3397577929384,MAT,4797,544000,-79.3397577929384
28,564000,-77.70608172954823,MAT,4797,564000,-77.70608172954823
29,584000,-78.96389690273307,MAT,4797,584000,-78.96389690273307
30,604000,-77.3886274283545,MAT,4797,604000,-77.3886274283545
31,624000,-79.48914440899463,MAT,4797,624000,-79.48914440899463
32,644000,-79.89367947357015,MAT,4797,644000,-79.89367947357015
33,664000,-86.5126643898856,MAT,4797,664000,-86.5126643898856
34,684000,-95.81262151772083,MAT,4797,684000,-95.81262151772083
35,704000,-87.5130072389264,MAT,4797,704000,-87.5130072389264
36,724000,-87.08394169162827,MAT,4797,724000,-87.08394169162827
37,744000,-89.12360205912464,MAT,4797,744000,-89.12360205912464
38,764000,-87.92772106592625,MAT,4797,764000,-87.92772106592625
39,784000,-86.06933910825674,MAT,4797,784000,-86.06933910825674
40,804000,-84.65904137807567,MAT,4797,804000,-84.65904137807567
41,824000,-83.79691030452203,MAT,4797,824000,-83.79691030452203
42,844000,-93.98640237302497,MAT,4797,844000,-93.98640237302497
43,864000,-93.21946414287231,MAT,4797,864000,-93.21946414287231
44,884000,-93.35522230294964,MAT,4797,884000,-93.35522230294964
45,904000,-96.76396529696157,MAT,4797,904000,-96.76396529696157
46,924000,-96.8517876833741,MAT,4797,924000,-96.8517876833741
47,944000,-106.29228900028151,MAT,4797,944000,-106.29228900028151
48,964000,-115.5710966948556,MAT,4797,964000,-115.5710966948556
49,984000,-121.90282923393515,MAT,4797,984000,-121.90282923393515
50,1004000,-126.9185257449024,MAT,4797,1004000,-126.9185257449024
51,1024000,-124.79738097341439,MAT,4797,1024000,-124.79738097341439
52,1044000,-122.4842983567019,MAT,4797,1044000,-122.4842983567019
53,1064000,-121.32715898745171,MAT,4797,1064000,-121.32715898745171
54,1084000,-124.33445692299787,MAT,4797,1084000,-124.33445692299787
55,1104000,-118.23280110315686,MAT,4797,1104000,-118.23280110315686
56,1124000,-121.06898955988167,MAT,4797,1124000,-121.06898955988167
57,1144000,-121.0033798037786,MAT,4797,1144000,-121.0033798037786
58,1164000,-127.03070537940327,MAT,4797,1164000,-127.03070537940327
59,1184000,-111.93159894100611,MAT,4797,1184000,-111.93159894100611
60,1204000,-118.19070296170096,MAT,4797,1204000,-118.19070296170096
61,1224000,-113.12015594622065,MAT,4797,1224000,-113.12015594622065
62,1244000,-104.99307959883222,MAT,4797,1244000,-104.99307959883222
63,1264000,-110.1215528245923,MAT,4797,1264000,-110.1215528245923
64,1284000,-102.97176684090614,MAT,4797,1284000,-102.97176684090614
65,1304000,-97.42462504270262,MAT,4797,1304000,-97.42462504270262
66,1324000,-92.4914075563553,MAT,4797,1324000,-92.4914075563553
67,1344000,-82.03705837367717,MAT,4797,1344000,-82.03705837367717
68,1364000,-90.29519288727828,MAT,4797,1364000,-90.29519288727828
69,1384000,-88.52059872435083,MAT,4797,1384000,-88.52059872435083
70,1404000,-88.72857204748745,MAT,4797,1404000,-88.72857204748745
71,1424000,-89.27289673842009,MAT,4797,1424000,-89.27289673842009
72,1444000,-94.57545824088491,MAT,4797,1444000,-94.57545824088491
73,1464000,-94.23544502009575,MAT,4797,1464000,-94.23544502009575
74,1484000,-92.41432713208455,MAT,4797,1484000,-92.41432713208455
75,1504000,-92.25863256018123,MAT,4797,1504000,-92.25863256018123
76,1524000,-82.17578283130932,MAT,4797,1524000,-82.17578283130932
77,1544000,-82.19478282447157,MAT,4797,1544000,-82.19478282447157
78,1564000,-87.61235016184868,MAT,4797,1564000,-87.61235016184868
79,1584000,-90.19984832926005,MAT,4797,1584000,-90.19984832926005
80,1604000,-86.8493871283124,MAT,4797,1604000,-86.8493871283124
81,1624000,-92.4729495556376,MAT,4797,1624000,-92.4729495556376
82,1644000,-91.29249873328072,MAT,4797,1644000,-91.29249873328072
83,1664000,-89.54396225910884,MAT,4797,1664000,-89.54396225910884
84,1684000,-93.69235311684437,MAT,4797,1684000,-93.69235311684437
85,1704000,-99.94600871501187,MAT,4797,1704000,-99.94600871501187
86,1724000,-104.70142914717908,MAT,4797,1724000,-104.70142914717908
87,1744000,-102.39195873615333,MAT,4797,1744000,-102.39195873615333
88,1764000,-103.13475473437829,MAT,4797,1764000,-103.13475473437829
89,1784000,-103.21480408769271,MAT,4797,1784000,-103.21480408769271
90,1804000,-105.97008772323083,MAT,4797,1804000,-105.97008772323083
91,1824000,-109.39540698009932,MAT,4797,1824000,-109.39540698009932
92,1844000,-101.83770506847509,MAT,4797,1844000,-101.83770506847509
93,1864000,-109.01937220232693,MAT,4797,1864000,-109.01937220232693
94,1884000,-117.13542800246482,MAT,4797,1884000,-117.13542800246482
95,1904000,-114.92308105985572,MAT,4797,1904000,-114.92308105985572
96,1924000,-115.60828241105962,MAT,4797,1924000,-115.60828241105962
97,1944000,-108.70299166442507,MAT,4797,1944000,-108.70299166442507
98,1964000,-88.92982490439962,MAT,4797,1964000,-88.92982490439962
99,1984000,-68.82263077053567,MAT,4797,1984000,-68.82263077053567
