,_step,eval_average_episode_rewards,algorithm,seed,Environment steps,Reward
0,4000,-173.86149502090055,MASK_AGENT,-4,4000,-173.86149502090055
1,24000,-160.38922798747603,MASK_AGENT,-4,24000,-160.38922798747603
2,44000,-167.91992383080108,MASK_AGENT,-4,44000,-167.91992383080108
3,64000,-170.4766903337415,MASK_AGENT,-4,64000,-170.4766903337415
4,84000,-162.31037801830854,MASK_AGENT,-4,84000,-162.31037801830854
5,104000,-151.74544867032563,MASK_AGENT,-4,104000,-151.74544867032563
6,124000,-141.8161528383253,MASK_AGENT,-4,124000,-141.8161528383253
7,144000,-124.48641574100493,MASK_AGENT,-4,144000,-124.48641574100493
8,164000,-113.5967422985686,MASK_AGENT,-4,164000,-113.5967422985686
9,184000,-105.33198449547595,MASK_AGENT,-4,184000,-105.33198449547595
10,204000,-100.2044355579112,MASK_AGENT,-4,204000,-100.2044355579112
11,224000,-92.83959885775202,MASK_AGENT,-4,224000,-92.83959885775202
12,244000,-88.88624052235602,MASK_AGENT,-4,244000,-88.88624052235602
13,264000,-85.06630417198156,MASK_AGENT,-4,264000,-85.06630417198156
14,284000,-82.30739614161803,MASK_AGENT,-4,284000,-82.30739614161803
15,304000,-78.38700111790276,MASK_AGENT,-4,304000,-78.38700111790276
16,324000,-77.53078130599421,MASK_AGENT,-4,324000,-77.53078130599421
17,344000,-74.78130272347755,MASK_AGENT,-4,344000,-74.78130272347755
18,364000,-72.50009880319531,MASK_AGENT,-4,364000,-72.50009880319531
19,384000,-71.55310007382805,MASK_AGENT,-4,384000,-71.55310007382805
20,404000,-71.20445600169542,MASK_AGENT,-4,404000,-71.20445600169542
21,424000,-70.93337358975468,MASK_AGENT,-4,424000,-70.93337358975468
22,444000,-70.18715032907491,MASK_AGENT,-4,444000,-70.18715032907491
23,464000,-67.48637231891311,MASK_AGENT,-4,464000,-67.48637231891311
24,484000,-67.58549379280844,MASK_AGENT,-4,484000,-67.58549379280844
25,504000,-70.3375145289792,MASK_AGENT,-4,504000,-70.3375145289792
26,524000,-73.43547493544176,MASK_AGENT,-4,524000,-73.43547493544176
27,544000,-76.47676968085344,MASK_AGENT,-4,544000,-76.47676968085344
28,564000,-81.14239826275612,MASK_AGENT,-4,564000,-81.14239826275612
29,584000,-82.23722576419178,MASK_AGENT,-4,584000,-82.23722576419178
30,604000,-85.3518431997953,MASK_AGENT,-4,604000,-85.3518431997953
31,624000,-87.94082973983043,MASK_AGENT,-4,624000,-87.94082973983043
32,644000,-92.66342288892193,MASK_AGENT,-4,644000,-92.66342288892193
33,664000,-97.51663628254406,MASK_AGENT,-4,664000,-97.51663628254406
