,_step,eval_average_episode_rewards,algorithm,seed,Environment steps,Reward
0,4000,-187.869483614255,MASK_AGENT,-5,4000,-187.869483614255
1,24000,-191.45771848884354,MASK_AGENT,-5,24000,-191.45771848884354
2,44000,-186.60589118980027,MASK_AGENT,-5,44000,-186.60589118980027
3,64000,-200.38001929561815,MASK_AGENT,-5,64000,-200.38001929561815
4,84000,-203.80446641300472,MASK_AGENT,-5,84000,-203.80446641300472
5,104000,-197.91993610766934,MASK_AGENT,-5,104000,-197.91993610766934
6,124000,-172.80047920962642,MASK_AGENT,-5,124000,-172.80047920962642
7,144000,-158.63643176675237,MASK_AGENT,-5,144000,-158.63643176675237
8,164000,-145.7799439559344,MASK_AGENT,-5,164000,-145.7799439559344
9,184000,-143.63494366851597,MASK_AGENT,-5,184000,-143.63494366851597
10,204000,-128.7277560198343,MASK_AGENT,-5,204000,-128.7277560198343
11,224000,-111.38990941328409,MASK_AGENT,-5,224000,-111.38990941328409
12,244000,-107.33900989286363,MASK_AGENT,-5,244000,-107.33900989286363
13,264000,-106.05864477729406,MASK_AGENT,-5,264000,-106.05864477729406
14,284000,-102.27129316417732,MASK_AGENT,-5,284000,-102.27129316417732
15,304000,-94.98895134860985,MASK_AGENT,-5,304000,-94.98895134860985
16,324000,-105.00098373411046,MASK_AGENT,-5,324000,-105.00098373411046
17,344000,-99.05602596183572,MASK_AGENT,-5,344000,-99.05602596183572
18,364000,-94.0978902029603,MASK_AGENT,-5,364000,-94.0978902029603
19,384000,-83.48041783285849,MASK_AGENT,-5,384000,-83.48041783285849
20,404000,-78.17942638953022,MASK_AGENT,-5,404000,-78.17942638953022
21,424000,-76.95010359291938,MASK_AGENT,-5,424000,-76.95010359291938
22,444000,-72.59486659672102,MASK_AGENT,-5,444000,-72.59486659672102
23,464000,-70.30854811899675,MASK_AGENT,-5,464000,-70.30854811899675
24,484000,-70.45182565901169,MASK_AGENT,-5,484000,-70.45182565901169
25,504000,-69.88071931969971,MASK_AGENT,-5,504000,-69.88071931969971
26,524000,-70.76046529993214,MASK_AGENT,-5,524000,-70.76046529993214
27,544000,-71.54508404702031,MASK_AGENT,-5,544000,-71.54508404702031
28,564000,-72.87576393333521,MASK_AGENT,-5,564000,-72.87576393333521
29,584000,-71.50593558555305,MASK_AGENT,-5,584000,-71.50593558555305
30,604000,-72.89394286395945,MASK_AGENT,-5,604000,-72.89394286395945
31,624000,-78.07873425829622,MASK_AGENT,-5,624000,-78.07873425829622
32,644000,-86.66871944423107,MASK_AGENT,-5,644000,-86.66871944423107
33,664000,-81.34062791218294,MASK_AGENT,-5,664000,-81.34062791218294
34,684000,-79.65468422820928,MASK_AGENT,-5,684000,-79.65468422820928
35,704000,-82.83398005643794,MASK_AGENT,-5,704000,-82.83398005643794
36,724000,-83.25870777153912,MASK_AGENT,-5,724000,-83.25870777153912
37,744000,-80.48020511591992,MASK_AGENT,-5,744000,-80.48020511591992
38,764000,-80.55506519108496,MASK_AGENT,-5,764000,-80.55506519108496
39,784000,-76.80475098236685,MASK_AGENT,-5,784000,-76.80475098236685
40,804000,-80.49847136421131,MASK_AGENT,-5,804000,-80.49847136421131
41,824000,-87.78264632132836,MASK_AGENT,-5,824000,-87.78264632132836
42,844000,-92.53074225617961,MASK_AGENT,-5,844000,-92.53074225617961
43,864000,-100.07805935120095,MASK_AGENT,-5,864000,-100.07805935120095
44,884000,-97.25966534147018,MASK_AGENT,-5,884000,-97.25966534147018
45,904000,-89.1664865473306,MASK_AGENT,-5,904000,-89.1664865473306
46,924000,-77.56788836314614,MASK_AGENT,-5,924000,-77.56788836314614
47,944000,-76.17556206058217,MASK_AGENT,-5,944000,-76.17556206058217
48,964000,-80.25287287693905,MASK_AGENT,-5,964000,-80.25287287693905
49,984000,-84.45513161845756,MASK_AGENT,-5,984000,-84.45513161845756
50,1004000,-72.71638038103092,MASK_AGENT,-5,1004000,-72.71638038103092
51,1024000,-64.31671126660311,MASK_AGENT,-5,1024000,-64.31671126660311
52,1044000,-62.05311127587605,MASK_AGENT,-5,1044000,-62.05311127587605
53,1064000,-63.63248683696569,MASK_AGENT,-5,1064000,-63.63248683696569
54,1084000,-62.37524762912044,MASK_AGENT,-5,1084000,-62.37524762912044
55,1104000,-65.18141738497117,MASK_AGENT,-5,1104000,-65.18141738497117
56,1124000,-61.611863683688604,MASK_AGENT,-5,1124000,-61.611863683688604
57,1144000,-63.16456286403799,MASK_AGENT,-5,1144000,-63.16456286403799
58,1164000,-55.852093739560246,MASK_AGENT,-5,1164000,-55.852093739560246
59,1184000,-56.65154204215473,MASK_AGENT,-5,1184000,-56.65154204215473
60,1204000,-60.40514006989112,MASK_AGENT,-5,1204000,-60.40514006989112
61,1224000,-55.48841121263771,MASK_AGENT,-5,1224000,-55.48841121263771
62,1244000,-55.78525600663668,MASK_AGENT,-5,1244000,-55.78525600663668
63,1264000,-56.63969840476616,MASK_AGENT,-5,1264000,-56.63969840476616
64,1284000,-55.52909296764415,MASK_AGENT,-5,1284000,-55.52909296764415
65,1304000,-56.267392761944066,MASK_AGENT,-5,1304000,-56.267392761944066
66,1324000,-55.11589283576512,MASK_AGENT,-5,1324000,-55.11589283576512
67,1344000,-54.367462507882394,MASK_AGENT,-5,1344000,-54.367462507882394
68,1364000,-56.02158738768613,MASK_AGENT,-5,1364000,-56.02158738768613
69,1384000,-57.71213156606948,MASK_AGENT,-5,1384000,-57.71213156606948
70,1404000,-58.242234889739144,MASK_AGENT,-5,1404000,-58.242234889739144
71,1424000,-57.804575185427744,MASK_AGENT,-5,1424000,-57.804575185427744
72,1444000,-60.57890480456474,MASK_AGENT,-5,1444000,-60.57890480456474
73,1464000,-62.19694247696516,MASK_AGENT,-5,1464000,-62.19694247696516
74,1484000,-60.060659431644204,MASK_AGENT,-5,1484000,-60.060659431644204
75,1504000,-59.598832872092736,MASK_AGENT,-5,1504000,-59.598832872092736
76,1524000,-53.99760629543855,MASK_AGENT,-5,1524000,-53.99760629543855
77,1544000,-52.0526184241926,MASK_AGENT,-5,1544000,-52.0526184241926
78,1564000,-51.14595257520987,MASK_AGENT,-5,1564000,-51.14595257520987
79,1584000,-48.69427955669725,MASK_AGENT,-5,1584000,-48.69427955669725
80,1604000,-43.26586534119569,MASK_AGENT,-5,1604000,-43.26586534119569
81,1624000,-41.89090341038896,MASK_AGENT,-5,1624000,-41.89090341038896
82,1644000,-39.74488815611677,MASK_AGENT,-5,1644000,-39.74488815611677
83,1664000,-51.7305360443393,MASK_AGENT,-5,1664000,-51.7305360443393
84,1684000,-53.32405247638941,MASK_AGENT,-5,1684000,-53.32405247638941
85,1704000,-63.17041576315141,MASK_AGENT,-5,1704000,-63.17041576315141
86,1724000,-62.010901057802656,MASK_AGENT,-5,1724000,-62.010901057802656
87,1744000,-57.53988147603733,MASK_AGENT,-5,1744000,-57.53988147603733
88,1764000,-64.22872786514553,MASK_AGENT,-5,1764000,-64.22872786514553
89,1784000,-64.76481535376936,MASK_AGENT,-5,1784000,-64.76481535376936
90,1804000,-61.36316692817995,MASK_AGENT,-5,1804000,-61.36316692817995
91,1824000,-60.389871534452574,MASK_AGENT,-5,1824000,-60.389871534452574
92,1844000,-52.64446768685785,MASK_AGENT,-5,1844000,-52.64446768685785
93,1864000,-51.956869840289166,MASK_AGENT,-5,1864000,-51.956869840289166
94,1884000,-52.607096831176065,MASK_AGENT,-5,1884000,-52.607096831176065
95,1904000,-52.43539306851242,MASK_AGENT,-5,1904000,-52.43539306851242
96,1924000,-55.18298686161138,MASK_AGENT,-5,1924000,-55.18298686161138
97,1944000,-56.16399806277737,MASK_AGENT,-5,1944000,-56.16399806277737
98,1964000,-53.63918369240476,MASK_AGENT,-5,1964000,-53.63918369240476
99,1984000,-57.17218955128889,MASK_AGENT,-5,1984000,-57.17218955128889
