,_step,eval_average_episode_rewards,algorithm,seed,Environment steps,Reward
0,4000,-182.3394158327082,MAT,7203,4000,-182.3394158327082
1,24000,-200.87656218926526,MAT,7203,24000,-200.87656218926526
2,44000,-206.86432843847106,MAT,7203,44000,-206.86432843847106
3,64000,-207.53556477135334,MAT,7203,64000,-207.53556477135334
4,84000,-205.27962192113364,MAT,7203,84000,-205.27962192113364
5,104000,-195.25394618515082,MAT,7203,104000,-195.25394618515082
6,124000,-207.67741057048633,MAT,7203,124000,-207.67741057048633
7,144000,-216.1735738054021,MAT,7203,144000,-216.1735738054021
8,164000,-214.17570558647148,MAT,7203,164000,-214.17570558647148
9,184000,-189.8405278316154,MAT,7203,184000,-189.8405278316154
10,204000,-186.16841584273263,MAT,7203,204000,-186.16841584273263
11,224000,-181.90460385095548,MAT,7203,224000,-181.90460385095548
12,244000,-163.32933604249345,MAT,7203,244000,-163.32933604249345
13,264000,-145.913178979923,MAT,7203,264000,-145.913178979923
14,284000,-119.34033024895807,MAT,7203,284000,-119.34033024895807
15,304000,-104.20894456481327,MAT,7203,304000,-104.20894456481327
16,324000,-90.71031909359468,MAT,7203,324000,-90.71031909359468
17,344000,-82.27162526698359,MAT,7203,344000,-82.27162526698359
18,364000,-79.48384777404803,MAT,7203,364000,-79.48384777404803
19,384000,-76.0439345323903,MAT,7203,384000,-76.0439345323903
20,404000,-75.193739470503,MAT,7203,404000,-75.193739470503
21,424000,-78.26253917418623,MAT,7203,424000,-78.26253917418623
22,444000,-82.43753268244032,MAT,7203,444000,-82.43753268244032
23,464000,-89.03070939469106,MAT,7203,464000,-89.03070939469106
24,484000,-91.96457829407346,MAT,7203,484000,-91.96457829407346
25,504000,-99.74312694968806,MAT,7203,504000,-99.74312694968806
26,524000,-99.46042155944586,MAT,7203,524000,-99.46042155944586
27,544000,-98.61398993557927,MAT,7203,544000,-98.61398993557927
28,564000,-102.339577506656,MAT,7203,564000,-102.339577506656
29,584000,-100.20746451190476,MAT,7203,584000,-100.20746451190476
30,604000,-104.79385729286562,MAT,7203,604000,-104.79385729286562
31,624000,-105.97983277143729,MAT,7203,624000,-105.97983277143729
32,644000,-103.07103783736622,MAT,7203,644000,-103.07103783736622
33,664000,-99.92982623797343,MAT,7203,664000,-99.92982623797343
34,684000,-90.31351486484733,MAT,7203,684000,-90.31351486484733
35,704000,-83.94730622454219,MAT,7203,704000,-83.94730622454219
36,724000,-81.64552811477215,MAT,7203,724000,-81.64552811477215
37,744000,-75.0425392127183,MAT,7203,744000,-75.0425392127183
38,764000,-76.68610493773551,MAT,7203,764000,-76.68610493773551
39,784000,-75.48981421591,MAT,7203,784000,-75.48981421591
40,804000,-76.52103556846664,MAT,7203,804000,-76.52103556846664
41,824000,-76.38428748287257,MAT,7203,824000,-76.38428748287257
42,844000,-76.52243584714941,MAT,7203,844000,-76.52243584714941
43,864000,-67.95121236939349,MAT,7203,864000,-67.95121236939349
44,884000,-69.10451264850398,MAT,7203,884000,-69.10451264850398
45,904000,-72.3262748016135,MAT,7203,904000,-72.3262748016135
46,924000,-68.4582785196973,MAT,7203,924000,-68.4582785196973
47,944000,-74.76894572977207,MAT,7203,944000,-74.76894572977207
48,964000,-75.77483946168444,MAT,7203,964000,-75.77483946168444
49,984000,-79.45404704115876,MAT,7203,984000,-79.45404704115876
50,1004000,-76.41311272363986,MAT,7203,1004000,-76.41311272363986
51,1024000,-70.15288137237846,MAT,7203,1024000,-70.15288137237846
52,1044000,-74.01764453860766,MAT,7203,1044000,-74.01764453860766
53,1064000,-70.76721735547622,MAT,7203,1064000,-70.76721735547622
54,1084000,-79.69435011183813,MAT,7203,1084000,-79.69435011183813
55,1104000,-84.06118563284613,MAT,7203,1104000,-84.06118563284613
56,1124000,-88.71509108504502,MAT,7203,1124000,-88.71509108504502
57,1144000,-83.86868241911203,MAT,7203,1144000,-83.86868241911203
58,1164000,-84.11093836697601,MAT,7203,1164000,-84.11093836697601
59,1184000,-83.9683210640977,MAT,7203,1184000,-83.9683210640977
60,1204000,-84.33244345611796,MAT,7203,1204000,-84.33244345611796
61,1224000,-83.07703830009855,MAT,7203,1224000,-83.07703830009855
62,1244000,-86.83034362019728,MAT,7203,1244000,-86.83034362019728
63,1264000,-92.56388325134955,MAT,7203,1264000,-92.56388325134955
64,1284000,-87.10526254865908,MAT,7203,1284000,-87.10526254865908
65,1304000,-91.18017869292872,MAT,7203,1304000,-91.18017869292872
66,1324000,-100.57793818915891,MAT,7203,1324000,-100.57793818915891
67,1344000,-98.85434980587942,MAT,7203,1344000,-98.85434980587942
68,1364000,-95.39871056473166,MAT,7203,1364000,-95.39871056473166
69,1384000,-90.96956816718759,MAT,7203,1384000,-90.96956816718759
70,1404000,-80.90378578622213,MAT,7203,1404000,-80.90378578622213
71,1424000,-74.89094685117763,MAT,7203,1424000,-74.89094685117763
72,1444000,-73.8695644178737,MAT,7203,1444000,-73.8695644178737
73,1464000,-68.47370677829238,MAT,7203,1464000,-68.47370677829238
74,1484000,-67.24500720174296,MAT,7203,1484000,-67.24500720174296
75,1504000,-66.64298393094012,MAT,7203,1504000,-66.64298393094012
76,1524000,-67.44688529347866,MAT,7203,1524000,-67.44688529347866
77,1544000,-74.39555503299144,MAT,7203,1544000,-74.39555503299144
78,1564000,-78.43940367085266,MAT,7203,1564000,-78.43940367085266
79,1584000,-82.43628826698463,MAT,7203,1584000,-82.43628826698463
80,1604000,-80.49493161423014,MAT,7203,1604000,-80.49493161423014
81,1624000,-81.38781795195955,MAT,7203,1624000,-81.38781795195955
82,1644000,-82.00189686910258,MAT,7203,1644000,-82.00189686910258
83,1664000,-80.40935165499465,MAT,7203,1664000,-80.40935165499465
84,1684000,-80.26743427436966,MAT,7203,1684000,-80.26743427436966
85,1704000,-67.68103744063703,MAT,7203,1704000,-67.68103744063703
86,1724000,-74.54706919055079,MAT,7203,1724000,-74.54706919055079
87,1744000,-74.64366708333603,MAT,7203,1744000,-74.64366708333603
88,1764000,-71.34343753277109,MAT,7203,1764000,-71.34343753277109
89,1784000,-72.21223355506598,MAT,7203,1784000,-72.21223355506598
90,1804000,-75.10499644404457,MAT,7203,1804000,-75.10499644404457
91,1824000,-77.85012562560678,MAT,7203,1824000,-77.85012562560678
92,1844000,-78.0964793120754,MAT,7203,1844000,-78.0964793120754
93,1864000,-77.54880845767408,MAT,7203,1864000,-77.54880845767408
94,1884000,-81.9962888745886,MAT,7203,1884000,-81.9962888745886
95,1904000,-83.00836055068285,MAT,7203,1904000,-83.00836055068285
96,1924000,-89.59371734155364,MAT,7203,1924000,-89.59371734155364
97,1944000,-87.75627220206448,MAT,7203,1944000,-87.75627220206448
98,1964000,-87.19498598202391,MAT,7203,1964000,-87.19498598202391
99,1984000,-85.05426603598178,MAT,7203,1984000,-85.05426603598178
